date_id,employee_id,team_id,manager_id,process_id,country_id,shift_id,leave_id,login_hours,productive_hours,idle_hours,overtime_hours,cases_completed,cases_reopened,average_handle_time,quality_score,csat_score,adherence_percent,attendance_status,escalation_count
20250909,E0359,T004,M001,P001,C002,S004,,9,7.34,1.66,0,74,2,5.38,92.38,4.56,88.6,Present,3
20251123,E0002,T005,M001,P002,C001,S002,,8.71,6.67,2.04,0,36,3,7.02,93.49,4.11,90.02,WFH,2
20251120,E0094,T006,M004,P003,C005,S002,,7.64,6.75,0.89,0,72,4,5.38,85.65,3.93,85.7,Present,1
20250331,E0125,T002,M002,P004,C004,S002,,10.16,8.91,1.25,1.16,101,1,8.76,96.47,4.9,96.99,Present,2
20250615,E0109,T006,M006,P004,C004,S004,,9.46,6.86,2.6,0.46,76,0,8.91,87.83,4.43,94.07,Present,1
20250216,E0103,T001,M002,P003,C004,S004,,7.85,6.03,1.82,0,80,1,8.08,89.49,4.23,90.57,Present,3
20250420,E0369,T003,M006,P005,C001,S003,,9.57,6.86,2.71,0.57,70,4,10.83,95.19,4.63,98.56,Present,2
20250512,E0352,T004,M002,P005,C003,S003,,10.06,8.51,1.55,1.06,92,5,4.32,86.45,4.67,94.7,Present,2
20250322,E0009,T001,M004,P002,C001,S003,,10.08,7.99,2.09,1.08,53,2,5.15,97.06,4.69,96.88,WFH,3
20250611,E0040,T004,M006,P001,C001,S003,,8.19,5.83,2.36,0,45,3,8.66,89.23,4.86,86.31,Present,1
20250825,E0073,T004,M006,P005,C001,S001,,7.59,6,1.59,0,102,5,4.3,98.9,3.82,85.31,Present,0
20250604,E0183,T002,M003,P005,C004,S004,,7.65,5.66,1.99,0,42,3,10.77,85.33,3.55,98.41,Present,1
20250214,E0019,T004,M001,P001,C005,S002,,8.61,6.49,2.12,0,60,3,7.1,93.95,3.8,95.46,Present,3
20250309,E0281,T006,M004,P004,C002,S001,,10.46,9.11,1.35,1.46,70,5,7.92,89.99,3.6,89.78,Present,0
20250130,E0048,T002,M004,P004,C001,S003,,9.3,7.99,1.31,0.3,84,2,6.76,90.81,3.52,89.13,Present,1
20251110,E0066,T003,M002,P005,C005,S004,,9.95,7.52,2.43,0.95,57,3,10.64,92.33,4.53,92.44,Present,1
20250105,E0025,T003,M004,P002,C005,S003,,9.63,7.82,1.81,0.63,40,2,6.55,97.94,3.87,87.48,Present,0
20250422,E0158,T003,M004,P003,C005,S001,,9.27,7.85,1.42,0.27,37,3,5.49,99.6,3.66,96.57,WFH,0
20251202,E0435,T001,M004,P002,C003,S003,,9.33,7.59,1.74,0.33,105,4,10.65,97.79,3.81,96.97,Present,2
20250831,E0342,T002,M005,P003,C001,S003,,7.65,6.05,1.6,0,69,5,8.16,95.45,4.44,87.8,Present,1
20250421,E0150,T001,M005,P002,C005,S001,,9.66,8.56,1.1,0.66,84,1,5.23,92.73,3.82,98.28,Present,1
20251020,E0371,T006,M003,P001,C003,S003,,8.31,5.86,2.45,0,59,5,9.07,95.67,3.88,85.99,WFH,3
20250805,E0284,T001,M004,P001,C003,S002,,8.33,7.14,1.19,0,106,2,4.77,97.99,3.98,99.22,Present,0
20250312,E0393,T002,M003,P001,C005,S002,,10.49,8.91,1.58,1.49,58,4,5.53,92.33,4.14,88.68,Present,0
20251031,E0100,T001,M004,P003,C004,S001,,9.13,6.9,2.23,0.13,36,0,11.25,87.78,4.44,90.22,Present,0
20251013,E0157,T006,M005,P004,C003,S001,,9.05,7.58,1.47,0.05,66,3,5.63,87.12,4.23,92.46,Present,2
20250921,E0057,T004,M004,P005,C002,S002,,9.43,7.11,2.32,0.43,70,2,7.21,87.4,3.66,90.31,Present,3
20251217,E0206,T002,M003,P005,C004,S004,,9.55,6.8,2.75,0.55,90,0,9.79,87.79,3.79,88.91,Present,3
20250625,E0141,T005,M002,P001,C004,S002,,7.74,6.14,1.6,0,80,0,10.45,95.74,4.36,85.38,Present,2
20250225,E0051,T005,M006,P005,C001,S002,,9.3,6.69,2.61,0.3,104,3,5.52,91.41,4.72,96.15,Present,3
20251019,E0045,T006,M004,P003,C003,S001,,7.99,6.28,1.71,0,75,2,10.68,91.97,3.52,98.47,Present,1
20251001,E0419,T001,M003,P003,C002,S004,,10.01,8.65,1.36,1.01,71,5,8,95.44,4.12,95.81,Present,0
20250618,E0283,T003,M001,P005,C004,S004,,8.41,6.87,1.54,0,100,4,7.29,97.92,4.9,96.46,WFH,0
20250401,E0258,T005,M002,P005,C002,S002,,9.66,8.18,1.48,0.66,72,0,6.34,90.94,4.22,91.52,Present,2
20250922,E0447,T004,M005,P004,C005,S001,,8.88,7.3,1.58,0,35,2,9.87,96.22,3.87,97.75,Present,3
20250713,E0483,T005,M004,P004,C001,S004,,9.39,8.35,1.04,0.39,74,1,10.81,98.28,4.22,96.47,Present,3
20250615,E0113,T001,M006,P004,C005,S002,L003,0,0,0,0,0,0,0,0,0,0,Leave,0
20250702,E0237,T003,M003,P005,C004,S004,,8.1,6.67,1.43,0,105,0,9.21,88.84,4.66,93.42,Present,0
20250429,E0348,T002,M006,P003,C005,S003,,9.1,6.97,2.13,0.1,41,5,10.74,89.98,4.3,96.56,Present,2
20250317,E0196,T001,M006,P002,C002,S004,,9.53,8.49,1.04,0.53,108,1,4.66,97.49,4.23,95.85,WFH,3
20250716,E0065,T005,M002,P002,C003,S001,L002,0,0,0,0,0,0,0,0,0,0,Leave,0
20250326,E0159,T004,M003,P002,C001,S003,,8.31,7.13,1.18,0,65,2,9.85,90.24,4.81,89.63,Present,3
20250617,E0243,T006,M006,P001,C003,S003,,7.52,5.41,2.11,0,92,2,4.1,94.53,4.14,88.68,Present,3
20251016,E0176,T001,M001,P004,C003,S003,,7.64,6.82,0.82,0,108,3,6.31,95.43,4.13,89.01,Present,3
20250323,E0276,T005,M005,P002,C001,S002,,9.14,7.11,2.03,0.14,68,2,10.79,96.98,3.75,98.31,Present,1
20251123,E0384,T004,M001,P005,C003,S003,,9.92,7.75,2.17,0.92,87,2,10.6,90.55,4.64,91.95,Present,1
20250825,E0045,T003,M003,P003,C002,S002,,8.7,6.89,1.81,0,41,3,10.97,91.33,4.29,97.17,Present,1
20250110,E0248,T006,M003,P004,C004,S004,,10.4,7.88,2.52,1.4,105,4,4.26,96.79,3.96,93.11,Present,2
20250805,E0359,T005,M002,P003,C005,S002,,8.59,7.32,1.27,0,86,5,8.39,85.99,4.18,97.93,Present,0
20250602,E0042,T004,M005,P005,C002,S004,,9.14,8.22,0.92,0.14,70,2,5.83,86.9,3.58,98.83,Present,0
20250506,E0003,T005,M006,P004,C005,S002,,7.54,5.79,1.75,0,65,5,7.86,89.08,3.85,97.63,WFH,0
20250523,E0037,T004,M002,P005,C003,S004,,10.46,8.73,1.73,1.46,101,3,9.78,90.8,3.7,89.71,Present,0
20250210,E0466,T004,M001,P005,C003,S004,,9.54,8.56,0.98,0.54,44,3,7.62,97.93,3.91,89.94,Present,3
20250117,E0405,T004,M006,P003,C005,S004,,8.22,7.11,1.11,0,108,4,7.48,91.35,3.82,87.84,Present,3
20251130,E0440,T006,M005,P005,C001,S002,,10.06,8.36,1.7,1.06,107,4,4.78,95.78,4.11,99.81,Present,1
20250922,E0442,T005,M003,P005,C003,S001,,8.44,6.72,1.72,0,52,4,7.21,99.11,3.56,91.3,Present,2
20250425,E0252,T001,M003,P002,C005,S003,,10.22,7.74,2.48,1.22,54,3,11.8,85.24,4.57,99.32,Present,1
20250124,E0488,T002,M004,P002,C002,S002,,8.15,5.83,2.32,0,86,5,7.83,97.88,3.57,90.62,Present,3
20250524,E0489,T001,M003,P005,C005,S003,L008,0,0,0,0,0,0,0,0,0,0,Leave,0
20250521,E0057,T001,M002,P001,C004,S001,,7.72,6.62,1.1,0,68,2,5.5,85.57,4.74,89.85,Present,1
20251015,E0266,T005,M006,P002,C005,S001,,7.92,6.03,1.89,0,88,2,10.55,91.56,4.72,96.67,Present,0
20251221,E0342,T003,M004,P001,C003,S002,,9.56,7.43,2.13,0.56,48,5,10.02,89.02,4.7,97.22,WFH,2
20250518,E0094,T001,M002,P001,C003,S003,,9.16,6.45,2.71,0.16,58,4,9.8,87.37,4.08,90.94,Present,1
20250729,E0094,T001,M003,P003,C005,S003,,9.22,8.11,1.11,0.22,76,3,9.3,95.82,3.91,95.42,Present,1
20251029,E0151,T003,M001,P004,C002,S004,,10.34,7.8,2.54,1.34,100,5,4.33,96.44,4.76,91.87,Present,3
20250428,E0268,T003,M004,P004,C001,S002,,7.6,6.69,0.91,0,98,2,8.59,98.85,3.82,85.8,Present,3
20250727,E0194,T006,M005,P001,C004,S003,,9.14,6.76,2.38,0.14,57,4,4.56,99.61,3.59,95.2,Present,1
20250629,E0346,T004,M002,P005,C004,S002,,8.74,7.19,1.55,0,49,0,5.3,94.56,4.88,98.06,Present,3
20250914,E0072,T005,M001,P005,C004,S001,,7.86,5.6,2.26,0,86,0,9.06,86.93,3.83,88.71,WFH,2
20250917,E0397,T001,M005,P001,C005,S002,,10.14,7.28,2.86,1.14,43,5,4.62,88,4.7,94.14,Present,1
20251004,E0390,T004,M005,P005,C002,S001,,8.97,7.24,1.73,0,104,4,6.81,98.22,3.64,94.5,Present,2
20250326,E0422,T002,M003,P004,C002,S004,,10.18,8.83,1.35,1.18,46,2,10.9,97.1,4.52,88.72,Present,3
20250517,E0089,T003,M005,P001,C001,S004,,8.7,7.78,0.92,0,54,5,8.59,87.94,4.81,99.85,WFH,1
20250324,E0341,T006,M001,P003,C003,S002,,9.03,7.7,1.33,0.03,46,5,11.3,90.34,4.89,91.62,Present,2
20250608,E0333,T005,M004,P005,C004,S004,,10.4,7.32,3.08,1.4,75,5,9.77,88.66,4.64,89.5,Present,3
20250519,E0098,T003,M001,P004,C002,S003,,8.13,6.51,1.62,0,82,5,4.48,94.59,3.57,91.02,Present,2
20250829,E0129,T006,M001,P004,C001,S003,,7.5,5.81,1.69,0,73,1,6.9,97.83,4.34,95.01,Present,1
20251106,E0169,T004,M003,P002,C001,S004,,8.08,6.17,1.91,0,93,0,5.34,95.29,4.25,85.82,Present,1
20250215,E0260,T002,M001,P005,C004,S002,,9.76,7.15,2.61,0.76,60,1,9.73,89.35,4.16,93.33,Present,2
20250123,E0396,T006,M006,P002,C003,S003,,10.16,8.36,1.8,1.16,104,1,10.89,91.73,4.65,88.37,Present,1
20250211,E0355,T005,M001,P005,C005,S003,,7.6,5.56,2.04,0,78,1,8.23,97.8,4.32,93.09,Present,1
20250414,E0371,T001,M006,P005,C005,S003,,7.65,5.69,1.96,0,79,1,6.56,85.48,4.53,89.52,Present,3
20250529,E0162,T001,M005,P002,C005,S003,,7.68,6.72,0.96,0,51,2,8.83,91.65,4.55,96.43,Present,1
20251224,E0184,T004,M006,P004,C002,S004,,9.41,7.26,2.15,0.41,64,4,10.55,89.93,3.7,97.2,Present,0
20250915,E0389,T001,M004,P003,C005,S002,,8.49,6.03,2.46,0,88,2,10.01,91.37,3.77,95.26,Present,0
20250802,E0013,T004,M002,P005,C005,S004,,7.53,6.5,1.03,0,104,2,6.03,95.88,4.08,99.61,Present,3
20250601,E0112,T001,M003,P002,C004,S003,,9.84,7.81,2.03,0.84,77,2,7.19,98.29,4.68,92.07,Present,2
20250926,E0280,T004,M006,P001,C004,S002,,8.53,6.51,2.02,0,39,1,7.49,88.48,4.58,86.56,Present,2
20250922,E0214,T002,M006,P001,C004,S001,,7.72,5.47,2.25,0,102,1,7.59,94.4,4.48,99.49,Present,3
20251023,E0148,T006,M003,P004,C002,S002,,8.83,7.63,1.2,0,107,2,8,97.57,4.12,94.59,Present,3
20250312,E0203,T003,M005,P003,C005,S003,,8.08,6.61,1.47,0,67,3,8.07,87.76,3.68,92.27,Present,2
20250129,E0466,T001,M004,P001,C003,S002,,9.91,8.65,1.26,0.91,79,1,4.68,91.27,4.41,91.55,Present,2
20250123,E0113,T002,M003,P004,C004,S004,L007,0,0,0,0,0,0,0,0,0,0,Leave,0
20251112,E0077,T001,M001,P002,C005,S001,,7.72,6.38,1.34,0,51,2,9.81,94.53,4.34,99.84,Present,0
20250506,E0021,T004,M003,P002,C004,S002,,7.87,6.16,1.71,0,81,0,7.96,88.88,3.93,99.22,Present,2
20250129,E0343,T004,M001,P001,C001,S004,,10.48,8.17,2.31,1.48,71,3,4.24,98.57,4.63,94.37,Present,3
20251130,E0016,T001,M004,P005,C004,S004,,7.63,5.43,2.2,0,49,1,11.3,96.09,3.89,91.79,Present,2
20250818,E0156,T005,M005,P003,C004,S002,,8.2,7.02,1.18,0,52,2,7.39,97.85,4.4,86.11,Present,0
20250215,E0101,T004,M006,P003,C004,S004,,8.01,6.19,1.82,0,47,1,11.6,98.55,4.99,91.21,Present,0
20250625,E0270,T006,M004,P001,C005,S004,,8.61,6.75,1.86,0,110,0,6.62,97.32,3.62,96.86,Present,1
20251212,E0258,T002,M003,P003,C005,S001,,8.62,7.3,1.32,0,54,4,4.84,85.63,4.6,98.09,Present,2
20250615,E0485,T004,M005,P002,C002,S003,,9.59,7.12,2.47,0.59,35,0,5.5,95.61,4.45,99.33,Present,1
20250729,E0483,T004,M001,P004,C003,S002,,7.51,6.17,1.34,0,71,4,9.43,95.66,4.36,96.65,Present,1
20250307,E0404,T004,M006,P002,C002,S001,,10.39,8.25,2.14,1.39,93,2,8.09,91.55,4.86,90.58,Present,0
20250213,E0433,T001,M001,P001,C004,S004,,8.96,7.46,1.5,0,89,2,8.04,88.08,4.19,92.3,Present,1
20251026,E0344,T001,M003,P001,C004,S003,,8.57,6.06,2.51,0,47,0,7.84,92,4.16,94.48,Present,3
20251009,E0296,T006,M004,P003,C005,S002,,8.88,6.55,2.33,0,103,4,4.85,88.84,4.29,95.63,Present,3
20250514,E0175,T006,M003,P002,C005,S001,,10.45,8.67,1.78,1.45,67,4,7.25,95.23,4.24,95.13,WFH,2
20250517,E0066,T006,M001,P004,C004,S001,,8.17,6.57,1.6,0,87,0,4.54,98.39,4.61,90.47,Present,0
20250830,E0266,T004,M006,P002,C005,S003,,8.13,6.29,1.84,0,65,4,4.89,85.38,4.56,88,Present,0
20250831,E0238,T005,M004,P005,C003,S004,,9.99,7.39,2.6,0.99,108,0,7.04,98.69,4.33,97.12,Present,1
20251127,E0487,T002,M002,P002,C001,S001,,8.85,7.61,1.24,0,75,5,4.86,96.04,3.52,93.42,Present,2
20250817,E0474,T001,M006,P004,C005,S002,,8.22,6.98,1.24,0,50,0,8.4,93.46,4.51,85.24,Present,3
20250914,E0454,T006,M005,P005,C001,S003,,9.86,6.92,2.94,0.86,52,1,8.31,85.85,4.58,90.45,Present,0
20250608,E0003,T005,M005,P002,C003,S001,,7.97,5.74,2.23,0,86,1,4.11,93.25,3.58,93.72,Present,2
20250203,E0123,T005,M003,P004,C005,S003,,8.56,7.52,1.04,0,55,5,5.78,93.61,4.91,90.4,Present,2
20250621,E0071,T001,M005,P004,C003,S004,,8.92,6.78,2.14,0,102,3,7.57,95.42,4.33,87.56,Present,3
20251219,E0053,T002,M006,P001,C004,S001,,9.54,8.29,1.25,0.54,100,1,9.22,91.96,3.91,92.57,Present,0
20250805,E0312,T002,M005,P001,C005,S001,,10.15,8.37,1.78,1.15,52,4,7.41,92.93,3.84,99.67,Present,0
20250706,E0371,T001,M002,P002,C003,S002,,7.75,6.91,0.84,0,36,5,6.49,94.21,3.74,98.73,Present,0
20250719,E0439,T004,M005,P003,C004,S004,,9.18,6.47,2.71,0.18,39,1,5.83,85.62,3.76,87.41,Present,2
20250923,E0067,T002,M003,P005,C001,S003,,10.08,7.74,2.34,1.08,89,0,10.04,87.31,4.96,91.58,Present,3
20250625,E0073,T001,M006,P003,C001,S002,,8.39,6.67,1.72,0,73,5,8.3,92.11,3.8,93.24,Present,1
20250321,E0089,T006,M004,P004,C002,S003,,8.65,7.64,1.01,0,98,4,10.2,94.62,4.69,91.3,WFH,0
20250804,E0418,T005,M003,P005,C005,S001,,10.08,8.13,1.95,1.08,84,1,4.83,94.44,4.32,97.96,Present,2
20250428,E0009,T002,M005,P005,C001,S002,,9.4,7.55,1.85,0.4,43,3,8.91,92.01,4.02,87.95,Present,2
20250524,E0391,T004,M003,P001,C003,S004,,9.92,7.91,2.01,0.92,101,0,6.2,88.51,4.03,87.41,Present,0
20250614,E0103,T003,M002,P001,C004,S002,,7.67,6.56,1.11,0,110,3,5.6,85.36,4.07,94.62,WFH,0
20250427,E0269,T003,M004,P002,C001,S002,,9.95,7.85,2.1,0.95,46,4,9.23,87.03,4.32,93.61,Present,1
20251221,E0198,T006,M005,P005,C004,S003,,9.69,7.87,1.82,0.69,43,0,7.08,94.49,4.64,95.54,Present,2
20250111,E0032,T002,M006,P003,C003,S001,,8.91,6.36,2.55,0,79,0,6.62,89.09,3.96,98.14,Present,0
20250816,E0302,T006,M002,P004,C003,S003,,9.88,7.88,2,0.88,86,5,4.59,93.59,3.75,97.5,Present,3
20250430,E0364,T004,M002,P003,C002,S001,,8.38,6.29,2.09,0,55,5,10.22,92.43,4.36,88.71,WFH,2
20250902,E0034,T005,M006,P004,C003,S003,,9,7.37,1.63,0,87,3,8.52,87,3.82,88.5,Present,1
20250517,E0115,T001,M006,P002,C002,S001,,9,8.07,0.93,0,80,1,9.33,88.24,3.92,97.73,WFH,1
20250619,E0216,T004,M005,P001,C003,S002,,10.36,8.54,1.82,1.36,75,3,10.63,86.55,3.6,91.09,Present,3
20250815,E0066,T002,M004,P004,C004,S001,,7.92,6.2,1.72,0,59,0,11.49,94.99,3.82,93.63,Present,1
20250412,E0342,T004,M005,P005,C004,S001,,9.97,8.49,1.48,0.97,36,0,10.82,94.89,4.47,88.82,WFH,2
20251207,E0249,T006,M005,P002,C005,S002,,8.15,6.72,1.43,0,70,0,5.98,88.78,4.26,85.35,Present,3
20250828,E0348,T002,M001,P002,C004,S004,,7.73,6.26,1.47,0,102,2,9.42,98.86,4.05,96.37,Present,2
20250702,E0277,T005,M005,P002,C002,S002,,7.55,6.12,1.43,0,48,2,4.75,98.06,3.92,95.8,Present,3
20250702,E0388,T003,M001,P001,C005,S004,,9.3,7.28,2.02,0.3,84,5,9.36,99.37,4.89,97.94,Present,2
20250707,E0343,T005,M001,P004,C002,S001,,10.12,7.11,3.01,1.12,64,3,10.98,91.44,4.94,85.84,Present,0
20250408,E0248,T003,M005,P005,C002,S004,,8.08,6.92,1.16,0,91,4,10.41,85.8,4.82,85.78,Present,0
20251022,E0091,T006,M006,P005,C002,S001,,9.74,8.73,1.01,0.74,64,2,11.59,91.96,4.51,91.61,Present,3
20250813,E0173,T006,M003,P005,C002,S002,,7.95,6.93,1.02,0,45,1,9.98,89.52,4.13,93.82,Present,0
20251103,E0275,T001,M001,P005,C001,S001,,8.58,6.45,2.13,0,47,2,4.8,95.2,3.89,90.69,Present,2
20250515,E0482,T001,M002,P005,C002,S004,,8.18,7.08,1.1,0,102,0,8.05,86.2,3.94,86.9,Present,2
20250527,E0472,T004,M003,P004,C003,S001,,10.15,7.95,2.2,1.15,60,1,11.31,89.57,4.9,98.86,Present,2
20251102,E0477,T006,M001,P001,C004,S004,,7.52,5.34,2.18,0,97,5,10.79,93.52,4.74,94.89,Present,3
20250629,E0105,T004,M002,P004,C003,S001,,7.6,6.09,1.51,0,37,5,4.09,93.41,4.77,92.26,Present,0
20250504,E0374,T002,M002,P002,C001,S004,,7.91,6.72,1.19,0,54,4,4.61,99,3.68,95.35,Present,2
20250720,E0171,T001,M004,P005,C003,S002,,8.18,5.76,2.42,0,67,1,4.33,95.46,3.74,94.42,Present,2
20250829,E0441,T006,M006,P005,C002,S004,L004,0,0,0,0,0,0,0,0,0,0,Leave,0
20250426,E0051,T002,M004,P003,C003,S004,,7.69,6.72,0.97,0,63,4,4.7,90.98,3.56,96.65,Present,1
20250809,E0469,T003,M006,P004,C001,S001,L003,0,0,0,0,0,0,0,0,0,0,Leave,0
20250529,E0218,T006,M005,P005,C004,S003,,9.37,7.67,1.7,0.37,69,0,4.94,93.73,3.96,97.94,Present,2
20250129,E0052,T002,M002,P001,C001,S004,,7.95,6.72,1.23,0,56,4,6.07,97.5,4.76,93.43,Present,3
20250507,E0432,T003,M006,P004,C001,S002,,8.86,7.7,1.16,0,49,3,9.04,95.46,4.25,97.43,Present,2
20250309,E0438,T006,M001,P003,C005,S004,,8,5.89,2.11,0,43,3,7.88,95.46,3.77,85.02,Present,0
20250627,E0448,T001,M004,P005,C003,S003,,9.79,8.43,1.36,0.79,70,0,9.97,89.85,4.63,96.95,Present,3
20250529,E0024,T001,M006,P005,C002,S002,,8.73,7.03,1.7,0,59,3,8.3,89.08,4.87,86.76,Present,3
20250820,E0113,T001,M006,P001,C004,S004,L007,0,0,0,0,0,0,0,0,0,0,Leave,0
20251210,E0457,T005,M005,P001,C005,S001,,9.13,7.83,1.3,0.13,47,5,11.67,88.31,4.82,95.32,Present,1
20251102,E0064,T004,M005,P003,C005,S003,,7.76,6.83,0.93,0,42,2,10.88,97.34,4.84,92.74,Present,3
20251215,E0490,T006,M002,P003,C003,S002,,9.65,8.14,1.51,0.65,70,5,5.92,89.48,4.67,99.83,Present,1
20250910,E0388,T002,M006,P002,C004,S001,,10.02,7.82,2.2,1.02,110,4,8.22,95.43,4.37,99.11,WFH,3
20250223,E0366,T003,M002,P005,C002,S001,,9.24,7.46,1.78,0.24,59,5,4.83,95.73,4.12,87.64,Present,0
20250423,E0400,T006,M006,P005,C004,S004,,8.52,6.6,1.92,0,63,1,10,86.76,3.73,96.84,Present,0
20251012,E0295,T006,M006,P003,C003,S001,,10.47,8.92,1.55,1.47,54,5,9.79,89.35,4.03,97.12,Present,1
20251130,E0446,T002,M003,P003,C001,S001,,8.3,5.84,2.46,0,58,2,9.15,90.93,4.77,94.92,Present,3
20250809,E0397,T006,M006,P002,C003,S003,,7.69,5.44,2.25,0,43,5,7.87,92.37,4.37,97.28,Present,2
20250329,E0404,T003,M006,P001,C003,S001,,10.14,7.76,2.38,1.14,90,0,11.39,92.55,4.39,90.9,Present,3
20250624,E0314,T005,M002,P001,C004,S004,,8.01,6.07,1.94,0,91,4,6.21,95.98,3.61,86.81,WFH,2
20250418,E0035,T006,M002,P005,C005,S004,,8.75,6.2,2.55,0,37,2,5.11,90.33,4.91,96.33,WFH,0
20250920,E0228,T005,M005,P002,C003,S003,,7.95,7.15,0.8,0,92,3,5.58,99.62,4.92,99.24,Present,0
20250621,E0033,T006,M005,P004,C001,S003,,8.97,7.84,1.13,0,66,4,9.49,89.3,4.3,86.12,Present,1
